# Amusement Detection Log
# Date: 2026-01-06 15:07:04
# Subject: Maria
# Age: 22
# Gender: Female
------------------------------
time, video_id, au25, au12, au6, audio, smile, laughter, amusement
00:01, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.014, 0.000, 0.003, 0.002
00:01, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.015, 0.000, 0.003, 0.002
00:01, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.015, 0.000, 0.003, 0.002
00:01, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.015, 0.000, 0.003, 0.002
00:01, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.016, 0.000, 0.003, 0.002
00:01, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.016, 0.000, 0.003, 0.002
00:01, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.016, 0.000, 0.003, 0.002
00:01, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.016, 0.000, 0.003, 0.002
00:02, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.022, 0.000, 0.004, 0.003
00:02, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.027, 0.000, 0.005, 0.003
00:02, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.030, 0.000, 0.006, 0.004
00:02, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.032, 0.000, 0.006, 0.004
00:02, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.034, 0.000, 0.007, 0.004
00:02, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.035, 0.000, 0.007, 0.004
00:02, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.036, 0.000, 0.007, 0.004
00:02, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.036, 0.000, 0.007, 0.004
00:02, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.030, 0.000, 0.006, 0.004
00:02, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.026, 0.000, 0.005, 0.003
00:02, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.023, 0.000, 0.005, 0.003
00:02, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.021, 0.000, 0.004, 0.003
00:02, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.020, 0.000, 0.004, 0.002
00:02, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.019, 0.000, 0.004, 0.002
00:02, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.018, 0.000, 0.004, 0.002
00:02, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.017, 0.000, 0.003, 0.002
00:03, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.030, 0.000, 0.006, 0.004
00:03, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.038, 0.000, 0.008, 0.005
00:03, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.044, 0.000, 0.009, 0.005
00:03, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.049, 0.000, 0.010, 0.006
00:03, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.052, 0.000, 0.010, 0.006
00:03, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.054, 0.000, 0.011, 0.006
00:03, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.055, 0.000, 0.011, 0.007
00:03, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.056, 0.000, 0.011, 0.007
00:03, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.057, 0.000, 0.011, 0.007
00:03, wqMQNIlzdGk, 0.000, 0.000, 0.000, 0.064, 0.000, 0.013, 0.008
00:03, wqMQNIlzdGk, 0.001, 0.000, 0.000, 0.069, 0.000, 0.014, 0.008
00:03, wqMQNIlzdGk, 0.002, 0.000, 0.000, 0.072, 0.000, 0.015, 0.009
00:03, wqMQNIlzdGk, 0.004, 0.000, 0.000, 0.074, 0.000, 0.016, 0.009
00:03, wqMQNIlzdGk, 0.005, 0.000, 0.000, 0.076, 0.000, 0.016, 0.010
00:03, wqMQNIlzdGk, 0.006, 0.000, 0.000, 0.077, 0.000, 0.017, 0.010
00:03, wqMQNIlzdGk, 0.006, 0.000, 0.000, 0.078, 0.000, 0.017, 0.010
00:04, wqMQNIlzdGk, 0.008, 0.000, 0.026, 0.078, 0.013, 0.025, 0.020
00:04, wqMQNIlzdGk, 0.009, 0.000, 0.018, 0.079, 0.009, 0.023, 0.017
00:04, wqMQNIlzdGk, 0.010, 0.000, 0.013, 0.085, 0.006, 0.023, 0.016
00:04, wqMQNIlzdGk, 0.011, 0.000, 0.009, 0.089, 0.004, 0.023, 0.015
00:04, wqMQNIlzdGk, 0.012, 0.000, 0.006, 0.092, 0.003, 0.023, 0.015
00:04, wqMQNIlzdGk, 0.036, 0.009, 0.004, 0.094, 0.007, 0.030, 0.021
00:04, wqMQNIlzdGk, 0.045, 0.039, 0.003, 0.095, 0.021, 0.041, 0.033
00:04, wqMQNIlzdGk, 0.039, 0.051, 0.002, 0.096, 0.027, 0.043, 0.037
00:04, wqMQNIlzdGk, 0.032, 0.057, 0.002, 0.097, 0.029, 0.043, 0.038
00:04, wqMQNIlzdGk, 0.030, 0.056, 0.001, 0.072, 0.029, 0.038, 0.034
00:04, wqMQNIlzdGk, 0.034, 0.049, 0.001, 0.055, 0.025, 0.033, 0.030
00:04, wqMQNIlzdGk, 0.033, 0.041, 0.001, 0.043, 0.021, 0.028, 0.025
00:04, wqMQNIlzdGk, 0.033, 0.030, 0.001, 0.035, 0.015, 0.023, 0.020
00:04, wqMQNIlzdGk, 0.048, 0.021, 0.000, 0.029, 0.011, 0.022, 0.017
00:04, wqMQNIlzdGk, 0.051, 0.015, 0.000, 0.025, 0.007, 0.020, 0.015
00:04, wqMQNIlzdGk, 0.056, 0.010, 0.007, 0.022, 0.009, 0.021, 0.016
00:05, wqMQNIlzdGk, 0.062, 0.007, 0.032, 0.020, 0.019, 0.028, 0.025
00:05, wqMQNIlzdGk, 0.053, 0.005, 0.027, 0.020, 0.016, 0.024, 0.021
00:05, wqMQNIlzdGk, 0.052, 0.003, 0.019, 0.020, 0.011, 0.021, 0.017
00:05, wqMQNIlzdGk, 0.050, 0.002, 0.013, 0.020, 0.008, 0.019, 0.014
00:05, wqMQNIlzdGk, 0.049, 0.002, 0.009, 0.020, 0.006, 0.017, 0.013
00:05, wqMQNIlzdGk, 0.041, 0.001, 0.007, 0.020, 0.004, 0.015, 0.010
00:05, wqMQNIlzdGk, 0.039, 0.001, 0.010, 0.020, 0.005, 0.015, 0.011
00:05, wqMQNIlzdGk, 0.033, 0.001, 0.011, 0.020, 0.006, 0.014, 0.011
00:05, wqMQNIlzdGk, 0.038, 0.000, 0.007, 0.021, 0.004, 0.014, 0.010
00:05, wqMQNIlzdGk, 0.030, 0.000, 0.005, 0.021, 0.003, 0.012, 0.008
00:05, wqMQNIlzdGk, 0.029, 0.000, 0.029, 0.020, 0.014, 0.018, 0.017
00:05, wqMQNIlzdGk, 0.030, 0.000, 0.043, 0.019, 0.022, 0.023, 0.022
00:05, wqMQNIlzdGk, 0.025, 0.000, 0.030, 0.018, 0.015, 0.018, 0.017
00:05, wqMQNIlzdGk, 0.023, 0.000, 0.021, 0.018, 0.011, 0.015, 0.013
00:05, wqMQNIlzdGk, 0.021, 0.000, 0.015, 0.018, 0.007, 0.012, 0.010
00:05, wqMQNIlzdGk, 0.017, 0.000, 0.010, 0.018, 0.005, 0.010, 0.008
00:05, wqMQNIlzdGk, 0.014, 0.000, 0.007, 0.018, 0.004, 0.008, 0.007
00:06, wqMQNIlzdGk, 0.013, 0.000, 0.005, 0.017, 0.003, 0.008, 0.006
00:06, wqMQNIlzdGk, 0.012, 0.000, 0.004, 0.290, 0.002, 0.062, 0.038
00:06, wqMQNIlzdGk, 0.013, 0.000, 0.002, 0.481, 0.001, 0.100, 0.060
00:06, wqMQNIlzdGk, 0.011, 0.000, 0.002, 0.615, 0.001, 0.126, 0.076
00:06, wqMQNIlzdGk, 0.011, 0.003, 0.001, 0.708, 0.002, 0.145, 0.088
00:06, wqMQNIlzdGk, 0.010, 0.004, 0.001, 0.774, 0.002, 0.158, 0.096
00:06, wqMQNIlzdGk, 0.011, 0.006, 0.001, 0.819, 0.003, 0.168, 0.102
00:06, wqMQNIlzdGk, 0.010, 0.015, 0.007, 0.852, 0.011, 0.179, 0.112
00:06, wqMQNIlzdGk, 0.009, 0.029, 0.014, 0.874, 0.022, 0.190, 0.122
00:06, wqMQNIlzdGk, 0.009, 0.044, 0.028, 0.890, 0.036, 0.201, 0.135
00:06, wqMQNIlzdGk, 0.009, 0.052, 0.039, 0.897, 0.045, 0.208, 0.143
00:06, wqMQNIlzdGk, 0.012, 0.055, 0.038, 0.901, 0.047, 0.211, 0.145
00:06, wqMQNIlzdGk, 0.010, 0.054, 0.027, 0.905, 0.041, 0.208, 0.141
00:06, wqMQNIlzdGk, 0.010, 0.060, 0.033, 0.907, 0.047, 0.211, 0.145
00:06, wqMQNIlzdGk, 0.016, 0.054, 0.032, 0.909, 0.043, 0.211, 0.144
00:06, wqMQNIlzdGk, 0.013, 0.048, 0.022, 0.910, 0.035, 0.206, 0.138
00:06, wqMQNIlzdGk, 0.020, 0.047, 0.016, 0.911, 0.031, 0.205, 0.135
00:07, wqMQNIlzdGk, 0.027, 0.033, 0.014, 0.911, 0.024, 0.202, 0.131
00:07, wqMQNIlzdGk, 0.029, 0.023, 0.013, 0.912, 0.018, 0.199, 0.127
00:07, wqMQNIlzdGk, 0.036, 0.019, 0.009, 0.883, 0.014, 0.192, 0.121
00:07, wqMQNIlzdGk, 0.026, 0.014, 0.007, 0.862, 0.010, 0.184, 0.114
00:07, wqMQNIlzdGk, 0.023, 0.012, 0.005, 0.848, 0.009, 0.179, 0.111
00:07, wqMQNIlzdGk, 0.022, 0.020, 0.008, 0.838, 0.014, 0.181, 0.114
00:07, wqMQNIlzdGk, 0.018, 0.031, 0.006, 0.831, 0.019, 0.181, 0.116
00:07, wqMQNIlzdGk, 0.019, 0.043, 0.004, 0.826, 0.024, 0.183, 0.119
00:07, wqMQNIlzdGk, 0.026, 0.067, 0.018, 0.823, 0.043, 0.195, 0.134
00:07, wqMQNIlzdGk, 0.030, 0.094, 0.056, 0.820, 0.075, 0.215, 0.159
00:07, wqMQNIlzdGk, 0.034, 0.099, 0.067, 0.867, 0.083, 0.230, 0.171
00:07, wqMQNIlzdGk, 0.037, 0.096, 0.063, 0.899, 0.080, 0.235, 0.173
